1a1m_A	1a1m_C	1
1a1n_A	1a1n_C	1
1a1o_A	1a1o_C	1
1a30_A	1a30_C	1
1a38_A	1a38_P	1
1a38_B	1a38_Q	1
1a6a_A	1a6a_C	1
1a9b_A	1a9b_C	1
1a9e_A	1a9e_C	1
1ab9_B	1ab9_A	1
1abt_A	1abt_B	1
1acy_H	1acy_P	1
1agb_A	1agb_C	1
1agc_A	1agc_C	1
1agd_A	1agd_C	1
1age_A	1age_C	1
1agf_A	1agf_C	1
1akh_B	1akh_A	1
1akj_A	1akj_C	1
1al0_F	1al0_B	1
1ao7_A	1ao7_C	1
1aqc_A	1aqc_C	1
1aqc_B	1aqc_D	1
1aqd_A	1aqd_C	1
1aqd_D	1aqd_F	1
1aqd_G	1aqd_I	1
1aqd_J	1aqd_L	1
1as4_A	1as4_B	1
1avf_J	1avf_P	1
1avg_H	1avg_L	1
1avp_A	1avp_B	1
1awi_A	1awi_P	1
1awq_A	1awq_B	1
1awr_A	1awr_G	1
1awr_B	1awr_H	1
1awr_C	1awr_I	1
1awr_D	1awr_J	1
1awr_E	1awr_K	1
1awr_F	1awr_L	1
1aws_A	1aws_B	1
1awt_A	1awt_G	1
1awt_B	1awt_H	1
1awt_C	1awt_I	1
1awt_D	1awt_J	1
1awt_E	1awt_K	1
1awt_F	1awt_L	1
1awu_A	1awu_B	1
1awv_A	1awv_G	1
1awv_B	1awv_H	1
1awv_C	1awv_I	1
1awv_D	1awv_J	1
1awv_E	1awv_K	1
1awv_F	1awv_L	1
1axc_A	1axc_B	1
1axc_C	1axc_D	1
1axc_E	1axc_F	1
1b0g_A	1b0g_C	1
1b0g_D	1b0g_F	1
1b3l_A	1b3l_B	1
1b7x_B	1b7x_A	1
1b8h_B	1b8h_D	1
1b8q_A	1b8q_B	1
1bbr_E	1bbr_F	1
1bbr_K	1bbr_G	1
1bbt_1	1bbt_4	1
1bd2_A	1bd2_C	1
1be3_A	1be3_I	1
1be3_J	1be3_K	1
1be9_A	1be9_B	1
1bev_2	1bev_4	1
1bgy_A	1bgy_I	1
1bgy_E	1bgy_K	1
